**** The Simulator log: stage 2
0.0,OOP_Ex0_Elevator_Simulator
0.0,Simulated Building, ex0.simulator.Builging_A [-2,10]
0) ex0.simulator.Elevator_A, Elev_0, speed: 1.0, open/close: 2.0,  start/stop: 3.0
1) ex0.simulator.Elevator_A, Elev_1, speed: 1.0, open/close: 2.0,  start/stop: 3.0
0.0,Simulated Period starTime,0.0,  endTime,1000.0,  dt,1.0
0.0,Simulated  calls,Elevetor log, size: 100
0.0,**** Simulation starts!! ****
169.0, elevID,0,  pos,-2,  cmd, goto,-2
169.0, elevID,1,  pos,-2,  cmd, goto,-2
170.0,Elevator call,169.78458339380109,-1,0,1,0, got allocated to elevator, 0
170.0, elevID,0,  pos,-2,  cmd, goto,-2
170.0, elevID,1,  pos,-2,  cmd, goto,-2
171.0,Elevator call,170.0099620835246,0,6,1,1, got allocated to elevator, 1
171.0, elevID,0,  pos,-2,  cmd, goto,-2
171.0, elevID,1,  pos,-2,  cmd, goto,-2
172.0,Elevator call,171.21173315221364,-1,8,1,0, got allocated to elevator, 0
172.0, elevID,0,  pos,-2,  cmd, goto,-2
172.0, elevID,1,  pos,-2,  cmd, goto,-2
173.0, elevID,0,  pos,-2,  cmd, goto,-2
173.0, elevID,1,  pos,-2,  cmd, goto,-2
174.0, elevID,0,  pos,-2,  cmd, goto,-2
174.0, elevID,1,  pos,-2,  cmd, goto,-2
175.0,Elevator call,174.84385152106802,0,-1,1,0, got allocated to elevator, 0
175.0, elevID,0,  pos,-2,  cmd, goto,-2
175.0, elevID,1,  pos,-2,  cmd, goto,-2
176.0, elevID,0,  pos,-2,  cmd, goto,-2
176.0, elevID,1,  pos,-2,  cmd, goto,-2
177.0, elevID,0,  pos,-2,  cmd, goto,-2
177.0, elevID,1,  pos,-2,  cmd, goto,-2
178.0, elevID,0,  pos,-2,  cmd, goto,-2
178.0, elevID,1,  pos,-2,  cmd, goto,-2
179.0, elevID,0,  pos,-2,  cmd, goto,-2
179.0, elevID,1,  pos,-2,  cmd, goto,-2
180.0, elevID,0,  pos,-2,  cmd, goto,-2
180.0, elevID,1,  pos,-2,  cmd, goto,-2
181.0, elevID,0,  pos,-2,  cmd, goto,-2
181.0, elevID,1,  pos,-2,  cmd, goto,-2
182.0, elevID,0,  pos,-2,  cmd, goto,-2
182.0, elevID,1,  pos,-2,  cmd, goto,-2
183.0, elevID,0,  pos,-2,  cmd, goto,-2
183.0, elevID,1,  pos,-2,  cmd, goto,-2
184.0, elevID,0,  pos,-2,  cmd, goto,-2
184.0, elevID,1,  pos,-2,  cmd, goto,-2
185.0, elevID,0,  pos,-2,  cmd, goto,-2
185.0, elevID,1,  pos,-2,  cmd, goto,-2
186.0, elevID,0,  pos,-2,  cmd, goto,-2
186.0, elevID,1,  pos,-2,  cmd, goto,-2
187.0, elevID,0,  pos,-2,  cmd, goto,-2
187.0, elevID,1,  pos,-2,  cmd, goto,-2
188.0,Elevator call,187.11678617348463,-1,-2,1,0, got allocated to elevator, 0
188.0,Elevator call,187.7299317966884,-1,-2,1,0, got allocated to elevator, 0
188.0, elevID,0,  pos,-2,  cmd, goto,-2
188.0, elevID,1,  pos,-2,  cmd, goto,-2
189.0, elevID,0,  pos,-2,  cmd, goto,-2
189.0, elevID,1,  pos,-2,  cmd, goto,-2
190.0, elevID,0,  pos,-2,  cmd, goto,-2
190.0, elevID,1,  pos,-2,  cmd, goto,-2
191.0, elevID,0,  pos,-2,  cmd, goto,-2
191.0, elevID,1,  pos,-2,  cmd, goto,-2
192.0, elevID,0,  pos,-2,  cmd, goto,-2
192.0, elevID,1,  pos,-2,  cmd, goto,-2
193.0, elevID,0,  pos,-2,  cmd, goto,-2
193.0, elevID,1,  pos,-2,  cmd, goto,-2
194.0, elevID,0,  pos,-2,  cmd, goto,-2
194.0, elevID,1,  pos,-2,  cmd, goto,-2
195.0, elevID,0,  pos,-2,  cmd, goto,-2
195.0, elevID,1,  pos,-2,  cmd, goto,-2
196.0,Elevator call,195.90869649656992,0,7,1,0, got allocated to elevator, 0
196.0, elevID,0,  pos,-2,  cmd, goto,-2
196.0, elevID,1,  pos,-2,  cmd, goto,-2
197.0, elevID,0,  pos,-2,  cmd, goto,-2
197.0, elevID,1,  pos,-2,  cmd, goto,-2
198.0,Elevator call,197.5359191292572,-1,1,1,0, got allocated to elevator, 0
198.0, elevID,0,  pos,-2,  cmd, goto,-2
